0,19,46
2,30,94
4,47,89
5,12,70
6,34,63
8,5,59
10,25,64
12,67,92
14,26,40
16,19,52
18,10,32
21,27,47
23,50,94
25,52,91
26,15,91
27,59,92
30,33,66
32,39,58
35,73,92
37,64,97
39,42,75
42,2,26
43,64,67
45,9,74
48,50,54
51,0,62
54,32,66
55,67,91
58,35,72
61,57,66
64,91,93
65,22,55
67,61,76
70,25,26
71,19,57
74,2,82
75,49,76
76,20,90
78,15,39
81,27,71
83,64,70
86,46,88
89,10,36
91,51,57
93,39,49
96,25,92
99,67,79
100,78,83
101,15,66
103,45,63
106,28,84
109,23,57
111,71,89
114,23,63
116,37,56
118,37,99
120,24,33
123,15,85
125,87,95
127,25,98
130,54,95
131,13,27
132,29,70
134,1,16
137,56,76
140,4,41
142,8,88
143,60,92
146,67,70
147,3,44
150,12,76
153,32,43
154,26,89
156,8,31
159,51,63
161,56,85
162,72,98
165,2,54
168,46,67
169,18,69
171,10,86
174,54,61
176,60,93
177,41,68
179,47,87
182,66,71
185,41,43
186,3,57
188,18,64
189,9,11
192,5,83
195,46,92
197,15,43
199,52,99
200,9,22
201,32,51
204,41,73
206,74,87
209,44,52
211,27,77
214,9,35
215,2,27
217,34,49
220,34,98
221,33,61
223,28,62
226,14,19
228,44,94
229,5,68
232,43,45
233,16,73
234,20,45
236,6,52
238,49,51
240,8,40
242,71,86
245,17,67
248,89,95
250,13,28
251,73,75
252,15,19
253,25,49
255,27,54
257,38,81
260,10,85
263,62,97
264,63,78
267,47,55
269,53,61
270,31,62
272,37,96
275,29,96
278,21,63
281,9,42
282,13,60
283,16,18
284,75,96
285,1,74
288,39,44
290,18,36
292,13,73
294,4,52
297,20,54
298,13,75
300,21,62
302,14,57
304,8,90
306,24,73
309,13,78
310,6,57
311,78,93
312,4,77
313,8,38
315,59,99
316,28,35
318,1,97
320,60,83
323,18,38
325,51,73
328,77,85
331,42,77
332,43,44
333,30,91
335,13,43
337,62,80
339,34,67
341,31,46
344,23,53
346,27,96
349,9,44
350,12,14
353,8,50
355,33,35
358,8,41
361,52,83
362,13,54
365,2,83
368,49,98
370,21,93
372,28,45
373,8,65
374,26,98
377,0,76
380,61,78
381,36,51
382,21,53
383,27,69
386,8,69
387,13,42
389,20,96
390,18,73
393,14,98
396,14,39
399,36,94
401,14,18
402,10,84
404,23,37
407,19,27
410,6,96
411,15,36
412,15,27
415,0,84
418,5,20
421,78,80
423,41,55
424,5,50
425,10,16
428,55,95
431,67,90
433,14,80
434,1,91
435,14,86
436,65,80
439,19,42
440,0,83
441,14,37
442,30,80
445,59,68
448,6,44
450,17,71
451,20,50
454,33,71
457,20,36
458,1,75
460,35,40
461,24,79
463,73,77
466,35,69
467,44,56
469,7,61
470,27,85
472,33,93
474,4,22
476,17,64
479,73,98
481,30,41
484,30,52
486,40,67
487,14,60
490,5,73
493,58,70
496,1,29
499,32,49
500,24,60
501,58,86
502,27,48
503,51,99
504,53,65
505,55,96
506,52,93
509,0,16
512,68,69
513,7,22
515,2,50
517,11,48
520,8,53
521,33,99
523,74,96
526,30,45
527,54,86
529,34,73
531,23,27
533,35,67
534,53,99
536,82,91
539,34,83
540,26,58
541,4,86
544,9,29
546,23,38
549,3,79
552,38,56
554,19,39
556,33,69
558,42,73
560,4,66
563,28,71
565,11,79
567,30,71
569,32,79
571,30,37
573,5,52
575,53,97
578,70,99
581,73,90
583,24,27
586,78,96
589,53,74
592,24,85
594,66,76
595,18,85
597,0,69
598,1,84
600,0,74
601,11,41
604,31,71
606,39,68
609,43,57
612,10,90
614,40,47
615,6,70
618,5,48
619,5,24
621,1,6
624,22,56
626,14,15
629,44,93
630,27,97
633,11,74
636,43,67
639,60,69
640,74,76
642,40,75
645,2,44
646,5,65
649,22,70
652,15,87
655,47,60
657,42,72
660,26,67
663,68,94
665,38,72
667,8,93
668,35,57
671,4,13
674,85,88
676,2,18
679,49,97
682,17,51
684,46,96
686,28,94
688,51,94
689,72,83
690,16,68
693,24,61
696,2,17
699,69,75
700,85,90
702,35,38
705,33,34
708,3,29
710,28,30
712,20,81
715,84,89
718,60,82
720,75,97
721,69,77
722,27,38
724,27,43
727,61,62
728,65,75
729,13,96
730,69,86
732,2,21
735,10,87
737,62,67
739,31,72
740,18,42
742,80,90
743,20,69
745,1,14
746,94,98
749,58,83
750,28,66
753,6,97
754,2,69
755,9,94
758,79,84
761,90,94
764,37,57
767,2,62
769,42,90
770,63,65
773,8,70
775,54,60
777,16,25
778,43,47
779,55,69
780,17,54
783,9,37
785,58,98
788,63,74
791,37,69
792,15,72
795,68,99
797,30,63
798,18,91
801,76,83
804,9,60
807,23,60
810,2,37
812,39,76
815,81,82
818,24,32
820,24,59
822,46,48
823,2,79
825,31,81
826,37,47
829,46,68
831,32,35
833,47,51
836,34,80
839,31,38
842,33,60
845,68,84
847,0,89
850,50,79
852,24,75
853,41,77
855,18,50
857,51,62
859,1,59
861,13,36
863,67,85
864,15,26
867,23,74
870,17,27
873,0,28
876,70,73
879,59,61
882,2,98
884,0,41
886,36,65
889,0,91
890,68,81
891,93,94
894,7,95
897,14,33
899,49,56
902,68,76
905,8,51
906,30,81
907,35,58
909,4,39
912,5,90
913,32,36
914,60,98
916,37,60
918,57,71
919,7,46
921,22,62
922,34,35
923,57,84
926,60,61
929,56,75
931,98,99
932,17,21
934,43,82
935,76,84
938,26,91
939,11,44
942,65,76
944,22,64
947,14,78
948,52,86
951,53,64
953,74,79
954,8,20
955,67,81
957,3,45
958,7,77
959,47,69
962,11,26
963,1,19
964,97,99
967,47,52
970,26,63
971,57,78
974,12,45
975,4,85
976,79,81
977,16,26
980,28,42
982,6,98
984,23,61
985,6,94
988,61,97
990,33,98
992,29,38
995,34,75
996,41,75
997,4,27
999,7,75
1002,25,33
1005,17,97
1007,2,5
1009,1,40
1012,61,65
1013,8,59
1015,12,99
1018,21,32
1021,17,29
1022,31,44
1023,14,48
1026,27,89
1028,46,51
1031,30,68
1033,17,78
1034,2,29
1037,33,55
1039,38,76
1041,29,53
1042,75,93
1044,8,54
1047,1,34
1050,15,73
1052,32,82
1054,9,23
1056,27,75
1057,53,92
1058,0,39
1059,20,47
1062,64,88
1065,44,87
1066,11,34
1067,26,37
1070,66,96
1071,0,71
1074,2,68
1077,8,18
1080,65,91
1081,12,40
1082,34,37
1085,67,97
1088,78,97
1089,61,94
1092,29,54
1093,0,59
1096,7,74
1098,26,94
1099,62,98
1100,19,97
1102,17,85
1103,10,19
1105,17,37
1107,7,87
1110,75,86
1112,69,93
1114,3,53
1115,44,75
1118,9,71
1119,3,14
1120,58,85
1123,14,82
1126,36,63
1129,31,86
1132,77,97
1134,15,55
1135,39,83
1137,20,59
1140,18,61
1143,65,93
1146,66,84
1148,20,95
1151,28,93
1153,25,88
1156,87,98
1159,79,96
1161,36,99
1162,33,76
1163,62,75
1166,1,55
1169,80,92
1171,11,65
1173,13,65
1174,7,67
1175,66,97
1177,65,92
1180,6,76
1181,30,92
1184,15,80
1185,12,48
1188,0,1
1190,46,85
1191,42,94
1193,39,93
1195,10,37
1196,40,46
1198,46,78
1199,17,42
1202,24,29
1204,61,82
1205,70,75
1206,26,74
1209,8,89
1210,8,83
1213,8,96
1215,18,86
1217,3,27
1218,48,82
1219,12,62
1222,5,77
1223,15,32
1224,63,96
1225,84,94
1228,1,77
1231,71,97
1234,10,26
1236,52,66
1238,33,81
1239,52,76
1240,2,61
1242,4,99
1244,6,73
1246,79,97
1247,49,55
1250,75,76
1252,86,99
1253,24,62
1254,35,74
1256,9,95
1259,53,75
1260,43,80
1261,11,13
1264,36,39
1266,17,81
1267,13,89
1270,68,79
1273,5,97
1276,7,48
1279,54,62
1280,33,90
1282,20,92
1283,30,96
1284,26,48
1286,74,86
1288,8,21
1291,35,94
1294,51,72
1295,58,75
1296,45,96
1299,7,10
1302,37,55
1304,26,70
1307,45,75
1308,12,68
1309,1,44
1310,50,99
1311,13,85
1313,24,65
1314,15,18
1316,64,95
1318,3,75
1319,45,47
1322,23,92
1323,75,84
1324,73,80
1325,41,96
1328,32,34
1330,34,42
1332,16,99
1335,5,8
1338,4,57
1340,29,68
1343,17,45
1345,73,85
1347,30,67
1349,15,24
1350,26,54
1353,9,62
1355,11,75
1358,23,46
1361,1,27
1364,51,78
1365,51,60
1367,30,84
1369,48,49
1372,2,11
1373,17,70
1376,36,62
1378,13,16
1380,35,83
1383,9,32
1385,17,22
1387,1,86
1389,7,26
1391,26,92
1392,54,64
1395,44,48
1396,5,51
1397,2,90
1400,17,84
1402,94,96
1405,18,66
1407,42,66
1409,11,31
1410,92,94
1413,33,72
1416,21,92
1419,29,99
1421,71,88
1422,3,41
1424,56,90
1425,68,80
1428,12,85
1429,12,60
1430,21,39
1431,38,69
1434,13,39
1435,55,72
1436,82,83
1437,15,58
1438,69,90
1439,20,40
1441,50,63
1443,40,53
1444,4,49
1445,49,52
1447,1,71
1449,65,71
1452,23,52
1455,65,94
1458,1,39
1460,31,43
1463,36,82
1466,25,90
1468,46,90
1471,4,60
1474,37,97
1477,8,14
1478,13,17
1481,26,95
1482,47,58
1483,19,21
1486,29,75
1489,5,14
1492,23,70
1493,23,36
1495,32,99
1498,17,87
1500,11,29
1501,15,42
1503,13,62
1505,42,59
1506,15,33
1507,40,41
1509,2,81
1510,17,24
1512,87,88
1513,77,80
1516,79,90
1519,2,60
1521,34,57
1524,52,79
1525,16,84
1528,81,98
1531,19,49
1533,79,87
1536,40,65
1539,6,95
1540,67,80
1542,25,97
1544,27,66
1545,35,93
1547,51,65
1548,18,26
1549,77,90
1552,19,31
1553,15,22
1554,14,87
1555,11,39
1556,48,80
1558,33,64
1559,27,92
1562,86,97
1564,34,82
1567,2,52
1570,47,74
1573,24,49
1574,43,81
1576,25,47
1577,38,40
1578,14,38
1580,7,44
1581,54,81
1584,42,55
1585,32,86
1588,5,19
1590,31,48
1593,42,96
1595,10,89
1596,53,57
1597,11,67
1598,40,92
1600,6,23
1602,19,87
1604,13,79
1605,72,85
1607,49,68
1608,42,50
1611,3,91
1612,41,44
1613,9,21
1614,25,70
1616,27,95
1619,0,52
1621,1,3
1624,58,67
1626,32,90
1627,12,18
1628,6,29
1630,4,10
1633,7,45
1636,57,88
1639,45,90
1640,57,86
1643,29,84
1646,66,94
1647,4,96
1649,26,81
1652,42,98
1654,79,88
1656,63,88
1657,72,86
