1,118,9,16
2,80,2,13
3,118,0,16
4,118,1,15
5,51,2,16
6,118,2,3
7,36,2,11
8,91,4,9
9,75,0,8
10,96,11,18
11,57,9,17
12,118,11,12
13,118,12,18
14,100,11,19
15,92,2,4
16,65,13,15
17,48,17,18
18,53,10,11
19,70,2,19
20,39,3,7
21,118,8,12
22,121,7,19
23,118,1,7
24,98,0,17
25,118,7,16
26,73,1,9
27,74,3,12
28,118,5,12
29,110,2,18
30,118,6,12
31,58,6,14
32,99,10,13
33,118,0,5
34,118,7,9
35,118,13,14
37,118,4,6
38,118,1,6
40,118,5,11
41,49,10,18
42,118,0,18
43,118,4,19
44,129,11,17
45,118,6,9
46,118,6,16
47,85,16,18
50,148,8,9
52,118,7,18
54,87,3,9
55,125,15,18
56,118,9,11
59,84,4,17
60,138,5,14
61,144,7,8
62,126,1,2
63,118,4,15
64,71,1,16
66,83,8,19
67,118,1,8
68,162,7,14
69,118,0,10
72,79,1,5
76,118,2,17
77,95,16,17
78,118,0,3
81,118,12,13
82,174,2,15
86,173,6,11
88,118,4,18
89,118,7,17
90,118,15,16
93,118,0,15
94,118,14,15
97,118,1,18
101,152,5,7
102,127,11,16
103,118,8,10
104,156,11,13
105,118,5,13
106,118,1,11
107,118,15,17
108,142,12,16
109,185,10,12
111,171,7,11
112,118,4,12
113,118,7,12
114,139,8,15
115,187,13,19
116,118,8,17
